Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Alyeska Resort,Alaska,Alaska,3939.0,2500.0,250.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,Alaska,65.0,85.0,150.0,550.0
Eaglecrest Ski Area,Alaska,Alaska,2600.0,1540.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,36.0,1.0,2.0,640.0,60.0,45.0,44.0,Alaska,47.0,53.0,90.0,0.0
Hilltop Ski Area,Alaska,Alaska,2090.0,294.0,1796.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,13.0,1.0,1.0,30.0,30.0,150.0,36.0,Alaska,30.0,34.0,152.0,30.0
Arizona Snowbowl,Arizona,Arizona,11500.0,2300.0,9200.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,8.0,55.0,4.0,2.0,777.0,104.0,122.0,81.0,Arizona,89.0,89.0,122.0,0.0
Sunrise Park Resort,Arizona,Arizona,11100.0,1800.0,9200.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,7.0,65.0,2.0,1.2,800.0,80.0,115.0,49.0,Arizona,74.0,78.0,104.0,80.0
Yosemite Ski & Snowboard Area,Northern California,California,7800.0,600.0,7200.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,10.0,2.0,0.4,88.0,0.0,110.0,84.0,Northern California,47.0,47.0,107.0,0.0
Bear Mountain,Sierra Nevada,California,8805.0,1665.0,7140.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,12.0,27.0,14.0,1.5,198.0,198.0,122.0,76.0,Sierra Nevada,57.91695652173913,64.1668100358423,130.0,0.0
Bear Valley,Sierra Nevada,California,8500.0,1900.0,6600.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,10.0,67.0,2.0,1.2,1680.0,100.0,165.0,52.0,Sierra Nevada,57.91695652173913,64.1668100358423,151.0,0.0
Boreal Mountain Resort,Sierra Nevada,California,7700.0,500.0,7200.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,8.0,33.0,6.0,1.0,380.0,200.0,150.0,54.0,Sierra Nevada,49.0,64.1668100358423,150.0,200.0
Dodge Ridge,Sierra Nevada,California,8200.0,1600.0,6600.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,12.0,67.0,5.0,2.0,862.0,0.0,140.0,69.0,Sierra Nevada,78.0,78.0,140.0,0.0
Donner Ski Ranch,Sierra Nevada,California,8012.0,750.0,7031.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,8.0,52.0,2.0,1.5,505.0,60.0,163.0,82.0,Sierra Nevada,75.0,75.0,170.0,0.0
Heavenly Mountain Resort,Sierra Nevada,California,10067.0,3500.0,7170.0,2.0,0.0,2.0,7.0,1.0,5.0,3.0,8.0,28.0,97.0,3.0,5.5,4800.0,3379.0,155.0,64.0,Sierra Nevada,57.91695652173913,64.1668100358423,157.0,0.0
June Mountain,Sierra Nevada,California,10090.0,2590.0,7545.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,7.0,41.0,2.0,2.0,1500.0,0.0,128.0,58.0,Sierra Nevada,57.91695652173913,64.1668100358423,128.0,0.0
Kirkwood,Sierra Nevada,California,9800.0,2000.0,7800.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0,12.0,85.0,2.0,2.5,2300.0,200.0,200.0,47.0,Sierra Nevada,57.91695652173913,64.1668100358423,167.0,0.0
