note,women,men,unisex,total
Musk,9910,4084,4830,18824
Jasmine,8010,2028,3415,13453
Amber,6180,3651,3484,13315
Patchouli,4862,3625,3241,11728
Rose,6626,1548,2732,10906
Vanilla,5838,1861,2954,10653
Cedar,3392,3099,2711,9202
Bergamot,3264,2146,1678,7088
Vetiver,2104,2474,1710,6288
Tonka Bean,2098,1594,1287,4979
Mandarin Orange,2367,1112,1058,4537
Lily-of-the-Valley,2927,552,1038,4517
Violet,2362,707,1048,4117
Lavender,716,2114,1090,3920
Lemon,1458,1237,1064,3759
Ylang-Ylang,2490,419,831,3740
iris,2137,594,924,3655
Orange Blossom,2130,575,922,3627
Oakmoss,1230,1237,939,3406
Leather,761,1567,929,3257
Cardamom,830,1498,826,3154
Geranium,827,1437,849,3113
White Musk,1653,482,887,3022
Peach,2110,193,703,3006
Freesia,1984,187,570,2741
Grapefruit,1007,962,729,2698
Agarwood Oud,660,1095,829,2584
Cinnamon,901,990,664,2555
Benzoin,1328,557,577,2462
Incense,949,821,682,2452
Pink Pepper,1190,610,599,2399
Nutmeg,549,1161,634,2344
Tuberose,1644,183,507,2334
Neroli,1071,552,599,2222
Orange,1066,471,661,2198
Peony,1684,75,438,2197
Labdanum,695,786,689,2170
Black Currant,1285,255,525,2065
Ginger,689,697,508,1894
Pepper,588,792,482,1862
Virginia Cedar,954,624,281,1859
Heliotrope,1225,197,375,1797
Magnolia,1261,160,372,1793
Raspberry,1210,146,435,1791
Mint,471,779,508,1758
Vanille,1393,203,119,1715
Saffron,476,671,519,1666
Gardenia,1219,102,337,1658
Coriander,498,715,410,1623
Lily,1071,123,348,1542
Ambergris,519,548,454,1521
Pear,1018,128,325,1471
Carnation,773,394,263,1430
Guaiac Wood,362,582,443,1387
Apple,533,369,432,1334
Orchid,982,75,262,1319
Tobacco,299,546,469,1314
Plum,823,171,312,1306
Cloves,453,431,384,1268
Violet Leaf,570,433,239,1242
Basil,290,625,319,1234
Sage,200,677,348,1225
Honey,658,206,351,1215
Citruses,523,321,350,1194
Black Pepper,301,515,376,1192
Lime,400,428,354,1182
Rosemary,204,561,343,1108
Orris Root,695,235,178,1108
Galbanum,503,329,275,1107
Moss,400,382,324,1106
Pineapple,482,308,301,1091
Olibanum,356,397,338,1091
Caramel,643,105,272,1020
Spices,448,322,219,989
Osmanthus,634,120,220,974
Petitgrain,364,327,282,973
Tangerine,514,216,224,954
Mimosa,649,74,198,921
Lotus,612,79,207,898
Cashmere Wood,446,246,202,894
Coconut,619,88,179,886
Cyclamen,511,163,184,858
Clary Sage,171,467,210,848
Myrrh,329,258,256,843
Amalfi Lemon,435,286,113,834
Jasmine Sambac,538,90,205,833
Cypress,211,397,210,818
Artemisia,209,374,229,812
Aldehydes,411,150,190,751
Honeysuckle,557,49,126,732
Bulgarian Rose,451,106,169,726
Tea,425,132,164,721
Cassis,441,109,169,719
Apricot,530,44,135,709
Melon,370,142,196,708
Juniper,158,338,186,682
Ambrette Musk Mallow,399,118,154,671
Red Berries,483,58,129,670
White Flowers,384,64,217,665
Almond,444,71,142,657
oak moss,347,227,79,653
Lilac,461,34,151,646
Narcissus,440,61,127,628
Water Lily,417,58,135,610
Hyacinth,396,60,154,610
Thyme,144,268,197,609
Palisander Rosewood,273,129,201,603
Praline,398,54,147,599
Litchi,431,33,134,598
African Orange flower,458,69,64,591
Bitter Orange,281,160,149,590
Coffee,227,193,139,559
Anise,203,200,144,547
Styrax,202,184,157,543
Clove,289,139,114,542
Orris,292,125,122,539
Frangipani,400,37,91,528
Blackberry,346,32,126,504
Green Apple,205,145,142,492
elemi,154,190,147,491
Star Anise,226,160,101,487
Red Apple,304,84,97,485
Juniper Berries,98,268,116,482
Damask Rose,265,75,136,476
Opoponax,249,104,114,467
Sugar,329,37,94,460
Suede,150,199,105,454
Turkish Rose,245,85,121,451
Cashmeran,204,113,133,450
Green Leaves,229,92,125,446
Civet,212,123,105,440
Cumin,116,179,143,438
Birch,116,204,117,437
Passionfruit,306,34,94,434
Fig,222,93,119,434
Caraway,100,219,109,428
Ambroxan,183,130,100,413
Cypriol Oil or Nagarmotha,89,192,127,408
Green Tea,207,65,136,408
Tiare Flower,328,15,61,404
Rum,152,144,106,402
Mango,285,37,78,400
Castoreum,110,157,127,394
resins,159,106,126,391
Brazilian Rosewood,224,118,48,390
Tarragon,103,182,95,380
Tolu Balsam,152,96,128,376
Cacao,210,74,89,373
Watermelon,196,77,99,372
Sea water,141,133,85,359
Myrhh,179,107,73,359
Licorice,199,70,86,355
Madagascar Vanilla,211,62,77,350
Angelica,174,92,83,349
Lemon Verbena,136,121,91,348
Chamomile,172,78,91,341
French labdanum,163,120,50,333
Yuzu,157,108,63,328
Strawberry,186,33,101,320
White Woods,202,38,78,318
Haitian Vetiver,82,123,110,315
Rhubarb,134,75,97,306
vetyver,150,117,37,304
White Amber,184,50,66,300
Milk,193,26,78,297
Immortelle,130,66,100,296
Amberwood,112,111,73,296
Peru Balsam,135,62,94,291
Grass,136,66,88,290
Coumarin,102,92,91,285
Oak,111,104,70,285
Egyptian Jasmine,165,49,69,283
Pomegranate,189,26,62,277
Teak Wood,97,113,65,275
Atlas Cedar,68,107,98,273
Dark Chocolate,131,51,91,273
Bamboo,149,62,60,271
Red Currant,207,14,50,271
Cherry,182,20,69,271
Sandalowood,91,68,108,267
Beeswax,158,45,63,266
Pine Tree,65,110,84,259
Hay,110,69,79,258
Bourbon Vanilla,153,48,56,257
Balsam Fir,73,109,75,257
Bay Leaf,68,111,76,255
White Rose,156,24,74,254
Precious Woods,113,63,75,251
Hibiscus,171,21,56,248
Vanila,146,44,57,247
Blood Orange,139,51,56,246
Fir,68,109,65,242
Big Strawberry,184,12,44,240
Pine,77,98,64,239
Marigold,166,33,39,238
Fig Leaf,103,70,62,235
Papyrus,69,95,65,229
Mate,88,66,75,229
White Pepper,83,94,48,225
Wormwood,72,82,71,225
May Rose,147,35,40,222
Peach Blossom,150,18,54,222
Ivy,121,55,43,219
Cassia,181,22,16,219
Chocolate,106,38,70,214
Nectarine,156,11,46,213
Smoke,78,75,60,213
Champaca,115,38,60,213
Citron,95,48,69,212
Lime Linden Blossom,148,18,46,212
Eucalyptus,67,69,76,212
Pink Grapefruit,137,31,43,211
Black Tea,93,50,64,207
White Cedar Extract,95,44,67,206
white honey,158,21,26,205
Cognac,81,66,56,203
Seaweed,67,67,67,201
Myrtle,63,71,61,195
Resin,102,55,37,194
Hawthorn,134,17,41,192
Sicilian Lemon,71,67,54,192
Cherry Blossom,145,11,33,189
Granny Smith apple,122,46,20,188
Whipped cream,130,10,45,185
Mahogany,87,59,38,184
Tagetes,106,30,45,181
Indonesian Patchouli Leaf,71,51,58,180
Hazelnut,97,42,41,180
Pimento,57,85,35,177
Apple Blossom,126,12,39,177
White Peach,132,5,37,174
tincture of rose,148,11,14,173
Clementine,112,22,39,173
Amyris,68,59,45,172
Moroccan Rose,98,27,44,169
Cucumber,91,33,42,166
Sweet Orange,68,36,61,165
Salt,88,37,40,165
Hedione,75,43,46,164
Cacao Pod,67,39,55,161
Flowers,88,36,36,160
Driftwood,76,54,26,156
Fern,41,65,50,156
Blueberry,110,22,23,155
Dried Fruits,64,49,40,153
